W_S,W_S_max,WTO,S,b,c_root,S_vert,S_orizz,CL_crociera,E_crociera,P_curr,P_tot,P_ice,P_em,phi_ice_cl,phi_ice_cr,phi_ice_de,Hp,E_batt_inst,OEW,W_wing,W_fus,W_tail,W_LG,W_propuls,W_fuelsys,W_hydr,W_battery,W_fuel,V_fuel,W_block_fuel,W_payload,ADP,flight_cost,electricity_cost,maintenance_cost,CO2
400,398.7697181,24565.48525,61.3649645,24.77195279,3.800355144,11.36879424,14.90778345,0.752860183,19.40178553,7004871.083,8409208.983,6638849.197,1770359.786,0.1,0.1,0.1,0.2,2725534.788,21026.90914,2899.075846,2420.777115,818.3840834,969.5874261,2825.496164,159.7082665,658.3692341,6813.836969,748.5761067,935.7201334,399.575736,2790,35.80093263,1885.252297,1362.767394,645.8182058,1262.659326
400,398.7697181,24303.0719,60.70376817,24.6381347,3.782131445,11.17042719,14.65660233,0.752860183,19.37509943,6929394.871,8318601.286,4816032.323,3502568.962,0.1,0.1,0.3,0.4,2814836.562,20800.1729,2854.833132,2420.777115,804.210788,959.1400743,2454.442098,158.883385,649.9047411,7037.091406,712.898997,891.1237463,368.2358381,2790,35.53928601,1872.13056,1407.418281,645.8856798,1163.625248
350,398.7697181,24966.52021,71.27238603,26.69688859,4.062784312,14.33311651,18.64397356,0.65875266,20.02392818,5634959.9,6764657.743,3916380.799,2848276.945,0.3,0.1,0.1,0.4,2982573.325,21532.2025,3193.675573,2420.777115,1027.003096,985.3624125,2020.154769,171.5527892,784.0866692,7456.433312,644.3177084,805.3971355,313.4165325,2790,36.22386345,1857.276138,1491.286662,650.4965833,990.3962428
350,398.7697181,25431.0612,72.5980963,26.9440339,4.096513106,14.74427692,19.16063688,0.65875266,20.07145077,5739773.624,6890484.543,3989227.893,2901256.65,0.1,0.1,0.3,0.4,3093141.635,21999.99804,3282.272523,2420.777115,1055.903491,1003.691171,2055.496159,173.0707454,801.2014917,7732.854088,641.0631551,801.3289438,305.0180269,2790,36.80258015,1860.39331,1546.570818,658.2294165,963.856965
300,398.7697181,25889.25003,86.23188506,29.36526606,4.427297718,19.34878358,24.93407055,0.564645137,20.32786735,4480890.757,5379220.597,3114285.609,2264934.988,0.1,0.2,0.1,0.4,3085588.259,22466.23202,3638.234092,2420.777115,1379.314138,1021.871149,1628.576843,187.9103276,984.9929798,7713.970647,633.0180134,791.2725167,308.2364181,2790,37.28499699,1861.990016,1542.794129,658.4066693,974.0270813
300,398.7697181,26099.29366,86.93111482,29.48408296,4.443544964,19.59028233,25.23581755,0.564645137,20.34682071,4517225.022,5422839.162,3139538.462,2283300.7,0.3,0.1,0.3,0.4,3139142.331,22680.05618,3669.493086,2420.777115,1396.230899,1030.157402,1640.980504,188.6371264,994.5170675,7847.855828,629.2374869,786.5468586,302.3375539,2790,37.5506165,1862.688952,1569.571166,661.886488,955.3866704
400,398.7697181,25503.78841,63.71171907,25.24118045,3.864277555,12.03429376,15.747586,0.752860183,19.49935228,7272755.427,8730798.832,5973704.464,2757094.368,0.1,0.1,0.1,0.3,3028817.778,21994.82559,3066.999256,2420.777115,865.3797934,1006.667784,2748.466717,162.5991382,687.4290805,7572.044445,718.9628188,898.7035235,359.5423374,2790,36.97431644,1884.592538,1514.408889,663.8146927,1136.153786
350,398.7697181,26531.93656,75.7472788,27.52222353,4.175448481,15.74386328,20.41576466,0.65875266,20.17609796,5988755.285,7189382.095,4919050.907,2270331.188,0.1,0.1,0.1,0.3,3289217.181,23097.20019,3495.150223,2420.777115,1126.362318,1047.230612,2287.163926,176.6195793,842.3938699,8223.042951,644.7363705,805.9204631,296.0653765,2790,38.10644337,1871.160954,1644.60859,674.5584918,935.5665897
300,398.7697181,26967.01392,89.81375338,29.96894282,4.509858277,20.60295913,26.50060578,0.564645137,20.4209945,4667016.349,5602660.683,3833399.415,1769261.268,0.1,0.1,0.3,0.3,3307753.777,23547.71077,3798.52227,2420.777115,1466.945611,1064.318266,1807.276873,191.6016671,1034.070226,8269.384443,629.3031512,786.628939,293.1033165,2790,38.58879133,1870.286633,1653.876889,674.6318299,926.2064802
400,398.7697181,26530.79921,66.27840537,25.74459271,3.932892751,12.77727267,16.68395347,0.752860183,19.59839817,7565745.194,9082527.243,5258305.246,3824221.997,0.1,0.1,0.1,0.4,3357798.191,23053.46298,3254.113473,2420.777115,917.7510322,1047.223287,2666.391955,165.6979912,719.5008041,8394.495478,687.3362296,859.170287,316.484247,2790,38.24615489,1884.034158,1678.899096,683.3165598,1000.090221
300,398.7697181,27489.83977,91.55784082,30.25852621,4.549473414,21.21519389,27.26434665,0.564645137,20.4639693,4757644.836,5711458.387,3306633.803,2404824.584,0.3,0.1,0.1,0.4,3492029.617,24094.23358,3877.256632,2420.777115,1509.918431,1084.986694,1722.921501,193.3712356,1058.057031,8730.074043,605.6061875,757.0077344,264.6202589,2790,39.22408359,1867.661272,1746.014809,684.6335416,836.2000182
300,398.7697181,27876.89312,92.8526197,30.47172783,4.578643825,21.67875897,27.84254475,0.564645137,20.49379996,4824925.782,5792227.829,3353395.059,2438832.77,0.1,0.1,0.3,0.4,3588460.226,24485.46491,3935.652235,2420.777115,1542.576069,1100.330572,1745.812454,194.6735784,1076.088763,8971.150565,601.4282093,751.7852616,256.4019835,2790,39.69694916,1869.748008,1794.230113,690.9196256,810.2302677
350,398.7697181,27459.57633,78.39659626,27.99939218,4.240620147,16.5912613,21.47805257,0.65875266,20.25892678,6198216.46,7440836.086,4307852.471,3132983.615,0.1,0.1,0.1,0.4,3573587.773,24052.0188,3679.540253,2420.777115,1185.908315,1083.859169,2209.693062,179.54589,877.1283325,8933.969432,617.557536,771.94692,259.2788706,2790,39.23978577,1871.013257,1786.793886,691.697868,819.321231
300,398.7697181,29512.80748,98.30183679,31.35312373,4.699274215,23.66725052,30.32023121,0.564645137,20.61049091,5108084.922,6132154.769,3550194.866,2581959.903,0.1,0.1,0.1,0.4,3999064.011,26147.38411,4182.910124,2420.777115,1681.770711,1164.90706,1841.968888,200.0533662,1152.49746,9997.660027,575.4233723,719.2792154,213.6773535,2790,41.63580727,1875.93959,1999.532005,717.3254838,675.2204371
